CustomerID,Current_Status,Churn_Probability,Tenure_Months,Monthly_Bill,Contract_Type,Internet_Service,Payment_Method,Risk_Tier
2799-ARNLO,No,0.715318330747867,5,69.35,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
8775-ERLNB,No,0.7149781961305449,1,74.3,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
7363-QTBIW,No,0.7146499509326153,9,79.75,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
2657-VPXTA,No,0.7140723716206322,10,88.85,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
9094-AZPHK,No,0.7138157308279267,15,100.15,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
1173-XZPYF,No,0.7136637284189884,11,89.2,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
3462-BJQQA,No,0.7128680395459197,6,89.75,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
7402-EYFXX,No,0.7127529364492804,26,93.6,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
5288-AHOUP,No,0.7121177622724971,11,78.5,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
7044-YAACC,No,0.7106299147108595,4,70.2,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
5956-YHHRX,No,0.7101808017487475,21,104.35,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
1393-IMKZG,No,0.7089146909799819,1,95.85,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
0840-DFEZH,No,0.7082460193508141,7,75.35,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
4395-PZMSN,No,0.7082144201978321,5,85.55,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
5382-SOYZL,No,0.707647407318213,22,95.1,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
0365-BZUWY,No,0.707046286323308,17,102.55,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
2371-JQHZZ,No,0.7058742303364256,24,93.0,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
8541-QVFKM,No,0.7049297564093375,8,73.5,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
5168-MSWXT,No,0.7048191753411102,8,94.75,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
1628-BIZYP,No,0.7028840336577458,1,85.0,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
6583-KQJLK,No,0.7025818005932745,15,94.65,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
7321-VGNKU,No,0.701158646145154,2,70.35,Month-to-month,Fiber optic,Electronic check,High Risk (Immediate Action)
0644-OQMDK,No,0.6990744631487611,4,70.65,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
8242-SOQUO,No,0.6988793046456876,5,84.7,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
1640-PLFMP,No,0.6985042904347996,1,70.25,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
3199-XGZCY,No,0.6977474689934087,8,75.25,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
9360-OMDZZ,No,0.6963545386679468,24,94.1,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
7145-FEJWU,No,0.6962085669520752,12,105.3,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
5429-LWCMV,No,0.6961819358822116,12,89.15,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
3338-CVVEH,No,0.6959092634622754,12,94.55,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
3295-YVUSR,No,0.6958490272134693,2,72.6,Month-to-month,Fiber optic,Mailed check,Medium Risk (Monitor/Nurture)
4813-HQMGZ,No,0.6957074679698241,8,90.25,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
3191-CSNMG,No,0.6953130076451272,3,80.7,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
6986-IXNDM,No,0.6949338157520243,14,92.9,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
1960-UYCNN,No,0.6941305031682624,10,95.25,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
5995-SNNEW,No,0.6933757791497309,23,104.45,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
5348-CAGXB,No,0.6925624366862949,12,89.55,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
4482-EWFMI,No,0.6920018904842085,2,69.7,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
3422-GALYP,No,0.691336204289214,2,79.45,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
7394-LWLYN,No,0.6902907043917977,2,70.15,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
7994-UYIVZ,No,0.6893050521230579,8,85.65,Month-to-month,Fiber optic,Bank transfer (automatic),Medium Risk (Monitor/Nurture)
8107-KNCIM,No,0.6888979536751443,14,75.1,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
6198-RTPMF,No,0.6887857835638886,17,92.6,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
5542-TBBWB,No,0.6883547621148234,1,69.9,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
6507-ZJSUR,No,0.6876955299075341,23,90.45,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
1219-NNDDO,No,0.6875975901562645,9,76.85,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
3030-YDNRM,No,0.687465503863401,8,74.85,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
6734-GMPVK,No,0.6873787993123829,5,105.3,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
7465-ZZRVX,No,0.6873434839457555,1,70.35,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
9279-CJEOJ,No,0.6870396575607497,21,95.4,Month-to-month,Fiber optic,Bank transfer (automatic),Medium Risk (Monitor/Nurture)
8648-PFRMP,No,0.6868246880905644,14,46.35,Month-to-month,DSL,Electronic check,Medium Risk (Monitor/Nurture)
8875-AKBYH,No,0.6866272801788892,20,84.35,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
4853-OITSN,No,0.6852592150408637,5,89.15,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
9633-XQABV,No,0.6846510721492277,3,70.25,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
7245-NIIWQ,No,0.683780202653499,3,69.85,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
0018-NYROU,No,0.6831356904527953,5,68.95,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
6077-BDPXA,No,0.6827413822626426,3,70.15,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
7354-OIJLX,No,0.6825023236446331,9,75.85,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
3317-VLGQT,No,0.6815208273773558,14,78.1,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
2897-DOVND,No,0.6813983165597277,2,69.8,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
9717-QEBGU,No,0.6800699308974714,2,70.3,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
7392-YYPYJ,No,0.6799261049028089,22,100.65,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
5928-QLDHB,No,0.6791552017459981,9,76.25,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
4298-OYIFC,No,0.6787557256728443,15,103.45,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
6786-OBWQR,No,0.6784302535530028,5,80.85,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
3292-PBZEJ,No,0.6783266455809254,11,111.4,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
4884-ZTHVF,No,0.6773462085067176,8,87.1,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
9314-IJWSQ,No,0.6770083121197725,14,84.8,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
8800-JOOCF,No,0.6763075283941695,12,84.05,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
0480-BIXDE,No,0.6758368355260326,19,96.8,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
3841-CONLJ,No,0.6757533902705563,1,35.0,Month-to-month,DSL,Electronic check,Medium Risk (Monitor/Nurture)
0928-JMXNP,No,0.6747687321126578,4,29.9,Month-to-month,DSL,Electronic check,Medium Risk (Monitor/Nurture)
2754-SDJRD,No,0.6741289103843441,8,100.15,Month-to-month,Fiber optic,Credit card (automatic),Medium Risk (Monitor/Nurture)
1226-IENZN,No,0.6737923741009,16,78.75,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
1016-DJTSV,No,0.6708556958139811,8,69.7,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
0168-XZKBB,No,0.6698498210806813,19,86.85,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
3629-ZNKXA,No,0.6694602136993018,17,101.8,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
7365-BVCJH,No,0.6691541227007416,1,24.4,Month-to-month,DSL,Electronic check,Medium Risk (Monitor/Nurture)
0928-XUTSN,No,0.6691540533360597,13,80.5,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
2107-FBPTK,No,0.6670363076308659,30,104.1,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
0722-SVSFK,No,0.6667497351483718,7,100.4,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
4132-KALRO,No,0.6664198966305821,4,100.85,Month-to-month,Fiber optic,Mailed check,Medium Risk (Monitor/Nurture)
3001-UNBTL,No,0.6659019728463825,29,103.95,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
6851-WEFYX,No,0.6658816849884812,35,100.8,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
6856-RAURS,No,0.6657477635414041,2,74.9,Month-to-month,Fiber optic,Mailed check,Medium Risk (Monitor/Nurture)
8313-NDOIA,No,0.6654376655846447,24,104.15,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
4633-MKHYU,No,0.6652544855253415,9,88.4,Month-to-month,Fiber optic,Mailed check,Medium Risk (Monitor/Nurture)
1251-STYSZ,No,0.665228668626851,4,80.25,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
2984-AFWNC,No,0.6645267803222257,3,95.4,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
2665-NPTGL,No,0.6640820500229527,26,98.1,Month-to-month,Fiber optic,Bank transfer (automatic),Medium Risk (Monitor/Nurture)
0508-OOLTO,No,0.663888716500127,2,71.65,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
4123-DVHPH,No,0.6635713536808059,9,88.05,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
3370-HXOPH,No,0.6634650530830868,3,76.1,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
9208-OLGAQ,No,0.6618383060466742,18,84.95,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
5628-FCGYG,No,0.661691819626629,21,84.1,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
7206-PQBBZ,No,0.6615166344793809,11,70.2,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
1078-TDCRN,No,0.6609372684269628,3,30.75,Month-to-month,DSL,Electronic check,Medium Risk (Monitor/Nurture)
0455-XFASS,No,0.6607185056635454,3,69.55,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
4815-GBTCD,No,0.6590595282100904,4,25.15,Month-to-month,DSL,Electronic check,Medium Risk (Monitor/Nurture)
3427-GGZZI,No,0.6588783207125747,19,89.1,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
2809-ZMYOQ,No,0.6583565771186967,32,101.35,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
4612-SSVHJ,No,0.6582235216572236,20,81.45,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
6215-NQCPY,No,0.6575201077368468,15,99.7,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
4445-ZJNMU,No,0.6567419946736711,9,99.3,Month-to-month,Fiber optic,Credit card (automatic),Medium Risk (Monitor/Nurture)
0420-HLGXF,No,0.6560926936689497,39,99.75,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
8309-IEYJD,No,0.6547515766738582,1,70.6,Month-to-month,Fiber optic,Mailed check,Medium Risk (Monitor/Nurture)
5119-NZPTV,No,0.6540749801382735,2,70.1,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
7823-JSOAG,No,0.6532496553610794,3,74.5,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
6116-RFVHN,No,0.6531554225050196,34,100.45,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
5216-WASFJ,No,0.652859454693924,31,84.85,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
6407-UTSLV,No,0.652388846916686,2,83.8,Month-to-month,Fiber optic,Bank transfer (automatic),Medium Risk (Monitor/Nurture)
3453-RTHJQ,No,0.652328726915669,6,69.1,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
5117-IFGPS,No,0.6499150555934243,29,84.3,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
8734-DKSTZ,No,0.6497225375679783,10,85.95,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
6198-ZFIOJ,No,0.649110413245484,5,75.6,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
7590-VHVEG,No,0.6483070327023561,1,29.85,Month-to-month,DSL,Electronic check,Medium Risk (Monitor/Nurture)
4566-NECEV,No,0.6457445489172758,5,96.55,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
8325-QRPZR,No,0.6442722341416629,7,75.15,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
4291-SHSBH,No,0.6442425880197493,7,69.55,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
2969-QWUBZ,No,0.6438170844083981,2,51.4,Month-to-month,DSL,Electronic check,Medium Risk (Monitor/Nurture)
7517-LDMPS,No,0.6399093401916263,12,84.6,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
8714-CTZJW,No,0.6395879413536925,4,82.85,Month-to-month,Fiber optic,Credit card (automatic),Medium Risk (Monitor/Nurture)
4301-VVZKA,No,0.6390463978188943,16,75.4,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
6705-LXORM,No,0.638690894826909,5,70.05,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
1508-DFXCU,No,0.6384815830308402,12,81.45,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
6435-SRWBJ,No,0.6378055554621311,5,82.75,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
4770-UEZOX,No,0.6375839631608112,2,74.75,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
2038-OEQZH,No,0.6373968359438936,4,86.05,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
4854-CIDCF,No,0.6369293431128934,3,73.85,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
8873-GLDMH,No,0.6353913053365081,6,73.85,Month-to-month,Fiber optic,Mailed check,Medium Risk (Monitor/Nurture)
3951-NJCVI,No,0.6349103288309659,42,95.05,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
1636-NTNCO,No,0.6335509226502363,4,50.95,Month-to-month,DSL,Credit card (automatic),Medium Risk (Monitor/Nurture)
5701-YVSVF,No,0.6334975421598634,11,82.9,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
8266-VBFQL,No,0.6332784753947321,4,90.4,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
2254-DLXRI,No,0.6319490610041262,1,79.15,Month-to-month,Fiber optic,Mailed check,Medium Risk (Monitor/Nurture)
2862-PFNIK,No,0.6315139191277365,1,24.7,Month-to-month,DSL,Electronic check,Medium Risk (Monitor/Nurture)
9121-PHQSR,No,0.6315066575787709,16,85.05,Month-to-month,Fiber optic,Credit card (automatic),Medium Risk (Monitor/Nurture)
8035-PWSEV,No,0.6311173440223156,6,89.25,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
1641-RQDAY,No,0.6309197633509885,32,100.4,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
6918-UMQCG,No,0.6309194323602842,5,80.2,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
1475-VWVDO,No,0.6307928755239852,7,74.9,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
0396-YCHWO,No,0.6306688296880443,36,95.4,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
0749-IRGQE,No,0.6300169337362873,13,45.3,Month-to-month,DSL,Electronic check,Medium Risk (Monitor/Nurture)
0793-TWELN,No,0.6299651220237422,4,80.15,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
1666-JXLKU,No,0.6292615290827087,37,100.05,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
1689-YQBYY,No,0.6292372091742899,12,76.6,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
2081-VEYEH,No,0.628938218444008,3,107.95,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
3420-YJLQT,No,0.62838273207791,2,79.55,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
2439-LYPMQ,No,0.6280865857175851,38,102.6,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
5934-RMPOV,No,0.6271867419243243,22,84.75,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
9903-LYSAB,No,0.6267920458953804,18,73.15,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
7801-KICAO,No,0.6261572540841883,18,74.15,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
3223-DWFIO,No,0.6258873573327646,4,69.35,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
2262-SLNVK,No,0.6244524095431601,1,70.1,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
9547-ITEFG,No,0.6241832908269604,9,102.6,Month-to-month,Fiber optic,Credit card (automatic),Medium Risk (Monitor/Nurture)
7326-RIGQZ,No,0.6219423515233411,6,69.8,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
6339-YPSAH,No,0.6219033285870379,9,73.8,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
8270-RKSAP,No,0.6214085723567975,9,70.5,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
5937-EORGB,No,0.6206323941919887,15,96.5,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
6030-REHUX,No,0.6204843434908597,28,110.85,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
3904-UKFRE,No,0.6191029818241195,4,80.1,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
1028-FFNJK,No,0.6189135950570274,30,101.5,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
7928-VJYAB,No,0.6183058666009863,11,90.6,Month-to-month,Fiber optic,Electronic check,Medium Risk (Monitor/Nurture)
